,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,SBAC.O,404734000.0,266120000.0,0.04552,7841125000.0,7860799000.0,-22.883764225,390000.0,
1,SBAC.O,410094000.0,269100000.0,-0.57048,7527299000.0,7963579000.0,-14.352357003,-79030000.0,
2,SBAC.O,410704000.0,270330000.0,0.29020999999999997,7751863000.0,8256400000.0,-11.851589719000001,28305000.0,
3,SBAC.O,410735000.0,271130000.0,-0.90061,7396757000.0,8486850000.0,-7.992260729,-155946000.0,
4,SBAC.O,406941000.0,268568000.0,0.43859,7312980000.0,8452070000.0,-7.382539991,31017000.0,
5,SBAC.O,399769000.0,266768000.0,0.49948000000000004,7371644000.0,8472270000.0,-8.308657933,53639000.0,
6,SBAC.O,405532000.0,251301000.0,0.39331,7436322000.0,8482803000.0,-8.690919663999999,32711000.0,
7,SBAC.O,411319000.0,273596000.0,0.0842,7915722000.0,9031268000.0,-7.689893017999999,-15370000.0,
8,SBAC.O,416505000.0,277461000.0,0.16254000000000002,7360945000.0,8775583000.0,-7.29750901,5262000.0,-1.435
9,SBAC.O,423363000.0,278170000.0,0.39637,7297450000.0,8666174000.0,-8.5350825,37598000.0,-1.2690000000000001
10,SBAC.O,427294000.0,284556000.0,0.15074,7308853000.0,8678705000.0,-8.776491818,9233000.0,-1.642
11,SBAC.O,433945000.0,289918000.0,0.4965,7300470000.0,8958801000.0,-8.755085016,49161000.0,-7.3565
12,SBAC.O,443072000.0,298023000.0,0.42491,7320205000.0,9310686000.0,-7.657590363,7660000.0,-10.71
13,SBAC.O,458302000.0,306916000.0,0.35308,7405082000.0,9383686000.0,-7.430473685,31545000.0,-4.15
14,SBAC.O,456323000.0,305966000.0,-0.36130999999999996,7289378000.0,9699738000.0,-6.0633286029999995,-57391000.0,-3.5
15,SBAC.O,467221000.0,315572000.0,0.19682,7213823000.0,9734145000.0,-5.880595571000001,16144000.0,-2.87
16,SBAC.O,483849000.0,325968000.0,0.48822,7213707000.0,9938553000.0,-6.647778927,57153000.0,-7.49
17,SBAC.O,493293000.0,318818000.0,0.28288,9312759000.0,9725247000.0,-7.706539489,25989000.0,-3.63
18,SBAC.O,500147000.0,320395000.0,0.35461,9269415000.0,9695339000.0,-8.119319756014871,31973000.0,-3.18
19,SBAC.O,507547000.0,341975000.0,0.26878,9201138000.0,9847962000.0,-7.62179421599756,21679000.0,-3.84
20,SBAC.O,,,,,,,,-4.8
